departement,annee,population
01,1975,752579
01,1976,762677
01,1977,774439
01,1978,785985
01,1979,796711
01,1980,808303
01,1981,821220
01,1982,834669
01,1983,845508
01,1984,859981
01,1985,871281
01,1986,884909
01,1987,898643
01,1988,912589
01,1989,925596
01,1990,941324
01,1991,953986
01,1992,965136
01,1993,976510
01,1994,982293
01,1995,990277
01,1996,998643
01,1997,1008425
01,1998,1019064
01,1999,1028686
01,2000,1042230
01,2001,1056414
01,2002,1071256
01,2003,1086296
01,2004,1101902
01,2005,1117960
01,2006,1133504
01,2007,1148778
01,2008,1162735
01,2009,1177731
01,2010,1194707
01,2011,1207679
01,2012,1224408
01,2013,1239021
01,2014,1252282
01,2015,1263783
01,2016,1276880
01,2017,1286732
01,2018,1295299
01,2019,1304896
01,2020,1315745
01,2021,1326437
01,2022,1342611
01,2023,1358724
01,2024,1371768
01,2025,1384367
01,2026,1397657
02,1975,1068904
02,1976,1068566
02,1977,1067896
02,1978,1067864
02,1979,1066817
02,1980,1066427
02,1981,1067969
02,1982,1068994
02,1983,1069966
02,1984,1071752
02,1985,1069635
02,1986,1072704
02,1987,1073194
02,1988,1073772
02,1989,1074415
02,1990,1073816
02,1991,1074550
02,1992,1075535
02,1993,1076463
02,1994,1075877
02,1995,1076674
02,1996,1076061
02,1997,1075529
02,1998,1073286
02,1999,1072390
02,2000,1072548
02,2001,1073281
02,2002,1073597
02,2003,1073331
02,2004,1072957
02,2005,1073625
02,2006,1074151
02,2007,1075668
02,2008,1077608
02,2009,1079768
02,2010,1081044
02,2011,1082632
02,2012,1081805
02,2013,1080164
02,2014,1079598
02,2015,1077351
02,2016,1072306
02,2017,1069015
02,2018,1066669
02,2019,1062728
02,2020,1058787
02,2021,1054975
02,2022,1051156
02,2023,1046724
02,2024,1042196
02,2025,1037208
02,2026,1032028
03,1975,758378
03,1976,755325
03,1977,752331
03,1978,749651
03,1979,747099
03,1980,744540
03,1981,742621
03,1982,740212
03,1983,737825
03,1984,735502
03,1985,734927
03,1986,731596
03,1987,728374
03,1988,722243
03,1989,719400
03,1990,715938
03,1991,712899
03,1992,710425
03,1993,707684
03,1994,704918
03,1995,702153
03,1996,698790
03,1997,696439
03,1998,693319
03,1999,690184
03,2000,689460
03,2001,689143
03,2002,688751
03,2003,688051
03,2004,687135
03,2005,687158
03,2006,686659
03,2007,686269
03,2008,685655
03,2009,686133
03,2010,685857
03,2011,685499
03,2012,685865
03,2013,686906
03,2014,686169
03,2015,683273
03,2016,678817
03,2017,676026
03,2018,674394
03,2019,672003
03,2020,671311
03,2021,669799
03,2022,669485
03,2023,666652
03,2024,664499
03,2025,662476
03,2026,660620
04,1975,224367
04,1976,225981
04,1977,227921
04,1978,229886
04,1979,231594
04,1980,233572
04,1981,235713
04,1982,237900
04,1983,240173
04,1984,242929
04,1985,246426
04,1986,250565
04,1987,254081
04,1988,255185
04,1989,258348
04,1990,261852
04,1991,263745
04,1992,265509
04,1993,268112
04,1994,270464
04,1995,272816
04,1996,274939
04,1997,276780
04,1998,278942
04,1999,279065
04,2000,282943
04,2001,287184
04,2002,291536
04,2003,295976
04,2004,300138
04,2005,304789
04,2006,309039
04,2007,312171
04,2008,315967
04,2009,318938
04,2010,320336
04,2011,321957
04,2012,322522
04,2013,323874
04,2014,323220
04,2015,323643
04,2016,325177
04,2017,327878
04,2018,328185
04,2019,328666
04,2020,330953
04,2021,332205
04,2022,334410
04,2023,336161
04,2024,337724
04,2025,339181
04,2026,340933
05,1975,194841
05,1976,196725
05,1977,198893
05,1978,201172
05,1979,203356
05,1980,205504
05,1981,207905
05,1982,210299
05,1983,211270
05,1984,214402
05,1985,215899
05,1986,218690
05,1987,220806
05,1988,222267
05,1989,224303
05,1990,226558
05,1991,228414
05,1992,229863
05,1993,230781
05,1994,233408
05,1995,235090
05,1996,237083
05,1997,238897
05,1998,241975
05,1999,242708
05,2000,245116
05,2001,247778
05,2002,250607
05,2003,253475
05,2004,256167
05,2005,258939
05,2006,261537
05,2007,264997
05,2008,268444
05,2009,271706
05,2010,273977
05,2011,277245
05,2012,279144
05,2013,278595
05,2014,279805
05,2015,281872
05,2016,282255
05,2017,282611
05,2018,281440
05,2019,282486
05,2020,281257
05,2021,282001
05,2022,283404
05,2023,286985
05,2024,288579
05,2025,290235
05,2026,291833
06,1975,1631713
06,1976,1647110
06,1977,1665260
06,1978,1683793
06,1979,1701253
06,1980,1720227
06,1981,1740229
06,1982,1761666
06,1983,1786258
06,1984,1802259
06,1985,1817373
06,1986,1844677
06,1987,1871253
06,1988,1893740
06,1989,1916918
06,1990,1944796
06,1991,1962698
06,1992,1978539
06,1993,1987427
06,1994,1997595
06,1995,1997441
06,1996,2000346
06,1997,2004758
06,1998,2012602
06,1999,2021326
06,2000,2035950
06,2001,2052948
06,2002,2070580
06,2003,2088896
06,2004,2106402
06,2005,2127038
06,2006,2146406
06,2007,2164968
06,2008,2168894
06,2009,2158238
06,2010,2157497
06,2011,2162527
06,2012,2164067
06,2013,2161582
06,2014,2166666
06,2015,2164922
06,2016,2167451
06,2017,2166664
06,2018,2172483
06,2019,2188611
06,2020,2194866
06,2021,2207928
06,2022,2229204
06,2023,2256884
06,2024,2274163
06,2025,2291067
06,2026,2309287
07,1975,514870
07,1976,517152
07,1977,519984
07,1978,522912
07,1979,525749
07,1980,528685
07,1981,532134
07,1982,535968
07,1983,540274
07,1984,543587
07,1985,546040
07,1986,548641
07,1987,551489
07,1988,552686
07,1989,553350
07,1990,555333
07,1991,557407
07,1992,558908
07,1993,560558
07,1994,561826
07,1995,563007
07,1996,565709
07,1997,567656
07,1998,570396
07,1999,571813
07,2000,576807
07,2001,582193
07,2002,587879
07,2003,593955
07,2004,600077
07,2005,606270
07,2006,612512
07,2007,618948
07,2008,622940
07,2009,627192
07,2010,630216
07,2011,634591
07,2012,636852
07,2013,640797
07,2014,644803
07,2015,648460
07,2016,650357
07,2017,651470
07,2018,653258
07,2019,656603
07,2020,658699
07,2021,662879
07,2022,666507
07,2023,668513
07,2024,671275
07,2025,673570
07,2026,676362
08,1975,619632
08,1976,617014
08,1977,614962
08,1978,613373
08,1979,610729
08,1980,608569
08,1981,606974
08,1982,605595
08,1983,604074
08,1984,602929
08,1985,602218
08,1986,601935
08,1987,599407
08,1988,597010
08,1989,595538
08,1990,592323
08,1991,591375
08,1992,589274
08,1993,589232
08,1994,588545
08,1995,586761
08,1996,585670
08,1997,584377
08,1998,582685
08,1999,580932
08,2000,579246
08,2001,578110
08,2002,577069
08,2003,575669
08,2004,574301
08,2005,572879
08,2006,571336
08,2007,569527
08,2008,568423
08,2009,566621
08,2010,566529
08,2011,566249
08,2012,565586
08,2013,561845
08,2014,559462
08,2015,555538
08,2016,550778
08,2017,547194
08,2018,543728
08,2019,541203
08,2020,539442
08,2021,537760
08,2022,534450
08,2023,531828
08,2024,528856
08,2025,526030
